Ref,Val,Package,PosX,PosY,Rot,Side
"TP13","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",48.897500,-90.960000,0.000000,top
"TP14","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",44.127500,-80.600000,90.000000,top
"TP15","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",49.547500,-80.515000,90.000000,top
"TP16","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",113.440000,-54.150000,0.000000,top
"TP17","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",112.730000,-49.020000,0.000000,top
"TP18","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",123.380000,-79.380000,90.000000,top
"TP19","TestPoint_2Pole","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",108.600000,-99.110000,0.000000,top
"TP20","TestPoint","TestPoint_Keystone_5005-5009_Compact",106.070000,-33.680000,0.000000,top
"TP21","TestPoint","TestPoint_Keystone_5005-5009_Compact",106.010000,-45.500000,0.000000,top
"TP22","TestPoint","TestPoint_Keystone_5005-5009_Compact",118.220000,-32.790000,0.000000,top
"TP23","TestPoint","TestPoint_Keystone_5005-5009_Compact",118.250000,-44.290000,0.000000,top
"TP25","TestPoint","TestPoint_Keystone_5005-5009_Compact",104.150000,-62.650000,90.000000,top
"TP27","TestPoint","TestPoint_Keystone_5005-5009_Compact",109.300000,-65.720000,0.000000,top
"U1","TL081HIDR","SOIC8_D_TEX",85.795850,-39.030000,0.000000,top
"U2","TL081HIDR","SOIC8_D_TEX",79.370000,-48.335000,-90.000000,top
"U3","TL081HIDR","SOIC8_D_TEX",82.120850,-80.455000,0.000000,top
"U4","TL081HIDR","SOIC8_D_TEX",82.070850,-68.995000,0.000000,top
"U5","TL081HIDR","SOIC8_D_TEX",82.120850,-92.800000,0.000000,top
"U6","AD633JRZ-R7","AD633",67.606200,-78.520000,0.000000,top
"U7","AD633JRZ-R7","AD633",68.470000,-90.250000,0.000000,top
"U8","TL081HIDR","SOIC8_D_TEX",100.255850,-31.865000,0.000000,top
"U9","TL081HIDR","SOIC8_D_TEX",112.400000,-30.050000,0.000000,top
"U10","TL081HIDR","SOIC8_D_TEX",100.200000,-43.710000,0.000000,top
"U11","TL081HIDR","SOIC8_D_TEX",112.400000,-41.815000,0.000000,top
"U12","TL081HIDR","SOIC8_D_TEX",105.545001,-56.834150,-90.000000,top
"U13","AD633JRZ-R7","AD633",104.790000,-68.500000,90.000000,top
"U14","TL081HIDR","SOIC8_D_TEX",118.590000,-66.360000,0.000000,top
"U15","TL081HIDR","SOIC8_D_TEX",106.050000,-88.500000,0.000000,top
"U16","TL081HIDR","SOIC8_D_TEX",117.020000,-91.060000,0.000000,top
